"caseId","activity","timestamp"
"17","acquisition within group posted","63586254307988"
"16","acquisition within group posted","63586254307988"
"16","helper transition 15[{acquisition within group posted}->{XOR}]","63586257907988"
"17","helper transition 15[{acquisition within group posted}->{XOR}]","63586257907988"
"17","END FUNCTION","63586261507988"
"16","END FUNCTION","63586261507988"
"17","END EVENT","63586265107988"
"16","END EVENT","63586265107988"
"18","START EVENT","63586455907988"
"19","START EVENT","63586455907988"
"19","START FUNCTION","63586459507988"
"18","START FUNCTION","63586459507988"
"18","helper transition 9[{XOR}->{leased asset was bought}]","63586463107988"
"19","helper transition 9[{XOR}->{leased asset was bought}]","63586463107988"
"18","leased asset was bought","63586466707988"
"19","leased asset was bought","63586466707988"
"18","helper transition 5[{leased asset was bought}->{XOR}]","63586470307988"
"19","helper transition 5[{leased asset was bought}->{XOR}]","63586470307988"
"18","creation of master record for tangible assets","63586473907988"
"19","creation of master record for tangible assets","63586473907988"
"18","helper transition 4[{XOR}->{retirement within group to be posted}]","63586477507988"
"19","helper transition 4[{XOR}->{retirement within group to be posted}]","63586477507988"
"18","retirement within group to be posted","63586481107988"
"19","retirement within group to be posted","63586481107988"
"19","retirement","63586484707988"
"18","retirement","63586484707988"
"19","retirement from group posted","63586488307988"
"18","retirement from group posted","63586488307988"
"18","helper transition 7[{retirement from group posted}->{XOR}]","63586491907988"
"19","helper transition 7[{retirement from group posted}->{XOR}]","63586491907988"
"19","END FUNCTION","63586495507988"
"18","END FUNCTION","63586495507988"
"18","END EVENT","63586499107988"
"19","END EVENT","63586499107988"
"20","START EVENT","63586689907988"
"21","START EVENT","63586689907988"
"20","START FUNCTION","63586693507988"
"21","START FUNCTION","63586693507988"
"21","helper transition 9[{XOR}->{leased asset was bought}]","63586697107988"
"20","helper transition 9[{XOR}->{leased asset was bought}]","63586697107988"
"21","leased asset was bought","63586700707988"
"20","leased asset was bought","63586700707988"
"21","helper transition 5[{leased asset was bought}->{XOR}]","63586704307988"
"20","helper transition 5[{leased asset was bought}->{XOR}]","63586704307988"
"21","creation of master record for tangible assets","63586707907988"
"20","creation of master record for tangible assets","63586707907988"
"21","helper transition 17[{XOR}->{asset transfer within a client exists}]","63586711507988"
"20","helper transition 17[{XOR}->{asset transfer within a client exists}]","63586711507988"
"20","asset transfer within a client exists","63586715107988"
"21","asset transfer within a client exists","63586715107988"
"21","transfer within a client","63586718707988"
"20","transfer within a client","63586718707988"
"20","10 transition","63586722307988"
"21","10 transition","63586722307988"
"21","retirement is posted in source company code","63586725907988"
"20","retirement is posted in source company code","63586725907988"
"21","acquisition is posted in target company code","63586729507988"
"20","acquisition is posted in target company code","63586729507988"
"20","start 4 transition","63586733107988"
"21","start 4 transition","63586733107988"
"20","END FUNCTION","63586736707988"
"21","END FUNCTION","63586736707988"
"20","END EVENT","63586740307988"
"21","END EVENT","63586740307988"
"22","START EVENT","63586959907988"
"23","START EVENT","63586959907988"
"22","START FUNCTION","63586963507988"
"23","START FUNCTION","63586963507988"
"23","helper transition 9[{XOR}->{leased asset was bought}]","63586967107988"
"22","helper transition 9[{XOR}->{leased asset was bought}]","63586967107988"
"23","leased asset was bought","63586970707988"
"22","leased asset was bought","63586970707988"
"22","helper transition 5[{leased asset was bought}->{XOR}]","63586974307988"
"23","helper transition 5[{leased asset was bought}->{XOR}]","63586974307988"
"22","creation of master record for tangible assets","63586977907988"
"23","creation of master record for tangible assets","63586977907988"
"22","helper transition 17[{XOR}->{asset transfer within a client exists}]","63586981507988"
"23","helper transition 17[{XOR}->{asset transfer within a client exists}]","63586981507988"
"23","asset transfer within a client exists","63586985107988"
"22","asset transfer within a client exists","63586985107988"
"23","transfer within a client","63586988707988"
"22","transfer within a client","63586988707988"
"23","10 transition","63586992307988"
"22","10 transition","63586992307988"
"22","acquisition is posted in target company code","63586995907988"
